"comp","valor"
2015-01-01,94471049
2015-02-01,94986056
2015-03-01,115184056
2015-04-01,134656038
2015-05-01,110637483
2015-06-01,108805970
2015-07-01,116764101
2015-08-01,111889422
2015-09-01,110689484
2015-10-01,113510581
2015-11-01,103406836
2015-12-01,92527248
2016-01-01,110654596
2016-02-01,102640730
2016-03-01,117787516
2016-04-01,114035766
2016-05-01,116924800
2016-06-01,119547073
2016-07-01,122659810
2016-08-01,144664650
2016-09-01,115221842
2016-10-01,104010330
2016-11-01,134355550
2016-12-01,116944514
2017-01-01,135729424
2017-02-01,130936467
2017-03-01,159255871
2017-04-01,138586811
2017-05-01,160876066
2017-06-01,139583315
2017-07-01,147067663
2017-08-01,162048286
2017-09-01,159789386
2017-10-01,165515772
2017-11-01,164467298
2017-12-01,145451305
2018-01-01,175366404
2018-02-01,147452203
2018-03-01,166998004
2018-04-01,179512015
2018-05-01,180668499
2018-06-01,158799567
2018-07-01,167394085
2018-08-01,177061145
2018-09-01,164272117
2018-10-01,188912178
2018-11-01,170398657
2018-12-01,148697931
2019-01-01,193484282
2019-02-01,180447783
2019-03-01,171389754
2019-04-01,200751087
2019-05-01,210533562
2019-06-01,186737731
2019-07-01,214041684
2019-08-01,214886882
2019-09-01,205113005
2019-10-01,216709555
2019-11-01,196682292
2019-12-01,167357985
2020-01-01,211644327
2020-02-01,180376645
2020-03-01,153369441
2020-04-01,79382434
2020-05-01,96082042
2020-06-01,129484321
2020-07-01,173181930
2020-08-01,173428882
2020-09-01,196933222
2020-10-01,204786377
2020-11-01,190903930
2020-12-01,180490335
