"comp","valor"
2015-01-01,69708963
2015-02-01,59701922
2015-03-01,75501976
2015-04-01,66439447
2015-05-01,63284800
2015-06-01,64190140
2015-07-01,67954888
2015-08-01,65037571
2015-09-01,65148499
2015-10-01,63862137
2015-11-01,62718009
2015-12-01,58832701
2016-01-01,61877104
2016-02-01,55544885
2016-03-01,62128758
2016-04-01,62605323
2016-05-01,65265046
2016-06-01,65868517
2016-07-01,69767983
2016-08-01,67103810
2016-09-01,61516954
2016-10-01,74323817
2016-11-01,73183274
2016-12-01,69557355
2017-01-01,79221953
2017-02-01,82303374
2017-03-01,102586311
2017-04-01,97122538
2017-05-01,93501046
2017-06-01,86440462
2017-07-01,87486477
2017-08-01,85150544
2017-09-01,83419692
2017-10-01,87544581
2017-11-01,90743098
2017-12-01,83580594
2018-01-01,93546169
2018-02-01,83130311
2018-03-01,98081507
2018-04-01,100163151
2018-05-01,99481555
2018-06-01,93213354
2018-07-01,98577645
2018-08-01,95935597
2018-09-01,86370484
2018-10-01,96346051
2018-11-01,99352495
2018-12-01,86164653
2019-01-01,92239601
2019-02-01,88187579
2019-03-01,95227880
2019-04-01,111219771
2019-05-01,122900898
2019-06-01,112669322
2019-07-01,120868573
2019-08-01,108050764
2019-09-01,103364548
2019-10-01,107189906
2019-11-01,93909966
2019-12-01,89333540
2020-01-01,101185534
2020-02-01,90192130
2020-03-01,96172792
2020-04-01,68507917
2020-05-01,103191851
2020-06-01,82783054
2020-07-01,86398032
2020-08-01,93140835
2020-09-01,89509711
2020-10-01,97352685
2020-11-01,88747765
2020-12-01,88048978
